created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Oct 24 23:42:09 +0000 2023,1716963319599562956,"@Dennysiregar7 padahal aslinya prabowo Gibran dengan ganjar mahfud itu satu kubu cuma dipecah aja, apapun dilakukan elit penguasa untuk melanggengkan kekuasaan,liat aja nanti kalo salah satu Mereka yg menang, pihak yg kalah pasti akan kumpul lagi jadi satu kolam, CATAT...",0,3,0,3,in,340837595,1716869573776191491,totok_kw1,https://twitter.com/totok_kw1/status/1716963319599562956
Tue Oct 24 23:41:53 +0000 2023,1716963250255098133,Bpk @prabowo &amp  Mas @gibran_tweet untuk Indonesia Maju ✊️🇲🇨🌹,0,0,1,3,in,964757533641523200,1716963250255098133,psi_kotajogja,https://twitter.com/psi_kotajogja/status/1716963250255098133
Tue Oct 24 23:41:28 +0000 2023,1716963145301078436,@Gojokaisen86 @kompascom Sangat ditunggu sekali program program kerja yang membangun dan bisa meningkatkan kesejahteraan ekonomi untuk masyarakat kita dengan adanya mas gibran sebagai cawapres pak prabowo,0,0,0,0,in,4153801512,1716823135939653663,mirashahabudin,https://twitter.com/mirashahabudin/status/1716963145301078436
Tue Oct 24 23:41:25 +0000 2023,1716963132575486098,@habiburokhman @prabowo @gibran_tweet Saya kasihan lihat anda seperti pengemis politik,0,0,0,0,in,997508907000971264,1716956698773225569,BudiHasbuds49,https://twitter.com/BudiHasbuds49/status/1716963132575486098
Tue Oct 24 23:41:24 +0000 2023,1716963128922230815,"@PandamPamungkas @gibran_tweet wkwkwk, lama2 fix gw jd pendukung prabowo. gw suka ganjar-mahfud, tapi ngeliat para ganjar malah jadi kayak kampret yg suka ngata2in orang. mendingan gw pilih prabowo.  pendukung PDIP emang tolol2 sih .., untungnya gw pendukung Jokowi, bukan pendukung megatron",0,0,0,0,in,1118441726836797440,1716796229508891018,SiKebongce,https://twitter.com/SiKebongce/status/1716963128922230815
Tue Oct 24 23:41:18 +0000 2023,1716963105048301571,"Relawan pasangan Prabowo Subianto dan Gibran Rakabuming Raka sudah mulai memenuhi Indonesia Arena sebagai rangkaian pendaftaran diri sebagai Calon Presiden dan Wakil Presiden ke KPU RI, Rabu (25/10) pagi. 🎥Ard #BeritaElshinta https://t.co/rnzKhNLH9P",0,2,1,1,in,121640063,1716956988708655263,RadioElshinta,https://twitter.com/RadioElshinta/status/1716963105048301571
Tue Oct 24 23:41:09 +0000 2023,1716963069182816637,TARGET SUDAH TERCAPAI. Gaduh ttg putusan MK krn ada maunya.  🤣🤣  Yusril Tegaskan Siap Jadi 'Pendekar Hukum' Gibran-Prabowo https://t.co/pU43hDtiVN,0,0,0,0,in,1423349409840975873,1716963069182816637,streetlawyers85,https://twitter.com/streetlawyers85/status/1716963069182816637
Tue Oct 24 23:41:07 +0000 2023,1716963058814492744,@Projo_Pusat @jokowi @prabowo @gibran_tweet @KPU_ID @RcyberProj0 Belum berkuasa ajach dah maling kader rampok kader partai orang hahaha Pendukung @jokowi belum puaskah peras lendir ibupertiwi hahaha,0,0,0,0,in,1521967420889477121,1716844092808986748,driveronline_17,https://twitter.com/driveronline_17/status/1716963058814492744
Tue Oct 24 23:41:05 +0000 2023,1716963052086816871,@Gojokaisen86 @detikcom Pak prabowo sangat mengerti bagaimana menarik simpati masyarakat dalam pemilu dengan menarik mas gibran sebagai cawapres nya,0,0,0,0,in,4153801512,1716797004280709354,mirashahabudin,https://twitter.com/mirashahabudin/status/1716963052086816871
Tue Oct 24 23:40:59 +0000 2023,1716963026518376482,@Prihati_utami Jangan kayak gitu lah Gibran itu belum cukup umur kalau jadi wakil Pak Prabowo,0,0,0,0,in,869870383788204032,1716611895619461141,zjuvurbijq2696,https://twitter.com/zjuvurbijq2696/status/1716963026518376482
Tue Oct 24 23:40:57 +0000 2023,1716963017362120878,"Memilih Prabowo-Gibran Sama saja dengan menambah Jokowi 3 periode. Tapi pendukung Ayah rata-rata keras kepala, mereka lebih dari sekedar jokower. The real jokower garis keras ‼️ https://t.co/QqUsXb57yD",13,18,103,243,in,929287558281830400,1716963017362120878,yaniarsim,https://twitter.com/yaniarsim/status/1716963017362120878
Tue Oct 24 23:40:26 +0000 2023,1716962887489778076,"Kalau Pemilu Hari Ini, Tenyata Prabowo - Gibran Unggul @prabowo @gibran_tweet @kaesangp @psi_id  Itulah survei versi LSI!  Yuk Simak!  https://t.co/J9lBwYqCXu  #PrabowoGibran2024 #prabowogibran #gibran #Joklwi #PSI #PDIP #PDIPerjuangan",0,1,0,1,in,1478569118869590017,1716962887489778076,andywartawan,https://twitter.com/andywartawan/status/1716962887489778076
Tue Oct 24 23:40:25 +0000 2023,1716962883060584916,"@psi_id PSI MANTAPP, PRABOWO GIBRAN😇",0,0,0,0,in,1055864606818586629,1716836922654646326,barca_joss,https://twitter.com/barca_joss/status/1716962883060584916
Tue Oct 24 23:40:06 +0000 2023,1716962800990667087,"Prabowo - Gibran Akan Daftar ke KPU Hari ini, Simak Rute yang Bakal Dilewati https://t.co/uB7RYJ7qBh #TempoNasional",0,1,1,2,in,18129942,1716962800990667087,tempodotco,https://twitter.com/tempodotco/status/1716962800990667087
Tue Oct 24 23:40:03 +0000 2023,1716962789770830071,@Gojokaisen86 @detikcom Maju terus untuk pasangan pak prabowo dan mas gibran dalam pilpres nanti. Semoga kemenangan pilpres nanti bisa menjadi ajang untuk adu pandangan dalam membangun Indonesia,0,0,0,0,in,4153801512,1716744085720240134,mirashahabudin,https://twitter.com/mirashahabudin/status/1716962789770830071
Tue Oct 24 23:39:47 +0000 2023,1716962722242576886,kesalahan terulang lagi pak Prabowo bawa Gibran daftar ke kpu,0,0,0,0,in,2758458877,1716962722242576886,suhendimichael,https://twitter.com/suhendimichael/status/1716962722242576886
Tue Oct 24 23:39:33 +0000 2023,1716962664474435740,"@kompascom Apakah Pak Prabowo mulai gerah dengan tidak jelasnya status Gibran di PDIP?   Pak Prabowo  fokus saja kepada proses pelaksanaan pilpres, seperti hari2 belakangan ini, tidak banyak statement yg tidak perlu   Bukan karena Pak Parabowo tidak apa2 Calon Wakilnya tetap ada di Partai…",0,1,0,6,in,132092841,1716942684173267071,Wicaksono_J,https://twitter.com/Wicaksono_J/status/1716962664474435740
Tue Oct 24 23:39:27 +0000 2023,1716962639992238290,@CNNIndonesia PRABOWO &amp  GIBRAN PRESIDENT &amp  VICE PRESIDENT INDONESIA 2024-2029 👍👍👍👍👍👍👍👍👍👍👍👍,0,0,0,0,en,1598186106230448129,1716812538040734020,Setiabumi1,https://twitter.com/Setiabumi1/status/1716962639992238290
Tue Oct 24 23:39:24 +0000 2023,1716962626369188045,@Gojokaisen86 @Gerindra Saya percaya pak prabowo tidak akan terburu-buru dalam memilih cawapres nya dan dengan dipilihnya mas gibran sudah melalui pemikiran yang sangat matang. 2024 all in prabowo,0,0,0,0,in,4153801512,1716806081828278302,mirashahabudin,https://twitter.com/mirashahabudin/status/1716962626369188045
Tue Oct 24 23:39:15 +0000 2023,1716962589912285679,@MazehNgopi @rahmani_ima @gibran_tweet @prabowo Iya duidnya buat buka lapangan kerja ningkatin SDM,0,0,0,0,in,134315121,1716724358888980514,ellameilia,https://twitter.com/ellameilia/status/1716962589912285679
Tue Oct 24 23:39:15 +0000 2023,1716962588481949952,@Gerindra Info terbaru mindra,0,0,0,0,in,1258411680754589697,1716886077603262716,sauki084,https://twitter.com/sauki084/status/1716962588481949952
Tue Oct 24 23:39:11 +0000 2023,1716962574070403262,"@Paltiwest Rakyat cerdas koq...dan memahami dan memaklumi knp Gibran ada diatas kertas. --- Sesungguhnya Jokowi, Bu Mega, Prabowo menyiratkan pada kita sedang/akan ada ancaman terjadi pada Pembangunan dan Pancasila kita  Faham https://t.co/cHEivJ990y",0,3,1,3,in,916782552865636352,1716842499132838309,RuskandarAsep,https://twitter.com/RuskandarAsep/status/1716962574070403262
Tue Oct 24 23:38:59 +0000 2023,1716962520689496270,@are_inismyname @prabowo @gibran_tweet @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd @P4P4B0W0_2024 @bengkeldodo @99propaganda @adri_7i @alextham878 @Alie_Fahnoor @AlmaghribiS @Ndons_Back @AndreasSolusi @florieliciouss Salah lu..  Klo kami justru makin mantap setelah ada imin..  Apalagi ketika wowo ambil anak wiwi jd wakilnya.. makin mantap menang 1 putaran,0,0,0,0,in,2925381554,1716792633430077511,hakunamaku,https://twitter.com/hakunamaku/status/1716962520689496270
